agency_name,county_total,murder,rape,robbery,assault,burglary,larceny,auto_theft,total,population,months,year,county
SHAVANO PARK PD,NA,0,0,0,2,6,16,0,24,3913,12,2018,Bexar
FAIR OAKS RANCH PD,NA,0,2,0,2,11,31,2,48,9516,12,2018,Bexar
BLANCO CO SO,NA,0,1,0,8,13,22,1,45,7586,12,2018,Blanco
JOHNSON CITY PD (NR),NA,0,0,0,1,0,0,0,1,2115,1,2018,Blanco
BLANCO PD,NA,0,0,0,4,1,11,2,18,2062,12,2018,Blanco
BORDEN CO SO,NA,0,0,0,0,4,10,1,15,675,12,2018,Borden
BOSQUE CO SO,NA,0,0,0,2,22,25,4,53,12241,12,2018,Bosque
CLIFTON PD,NA,0,0,0,2,4,20,1,27,3390,12,2018,Bosque
MAUD PD,NA,0,0,0,0,3,5,0,8,0,10,2018,Bowie
BOWIE CO SO,NA,0,20,5,55,113,191,45,429,38582,12,2018,Bowie
WAKE VILLAGE PD,NA,2,1,2,4,17,71,11,108,5416,12,2018,Bowie
TEXARKANA PD,NA,3,28,45,95,348,1427,139,2085,37460,12,2018,Bowie
HOOKS PD,NA,0,0,0,0,5,14,1,20,2740,12,2018,Bowie
DE KALB PD (NR),NA,0,0,2,1,6,6,1,16,1623,12,2018,Bowie
NEW BOSTON PD,NA,0,0,0,39,16,164,2,221,4642,12,2018,Bowie
NASH PD,NA,0,1,0,8,18,66,13,106,3483,12,2018,Bowie
OYSTER CREEK PD,NA,0,0,1,15,6,16,5,43,1163,12,2018,Brazoria
MANVEL PD,NA,0,3,0,9,32,36,6,86,11097,12,2018,Brazoria
SWEENY PD,NA,0,5,1,2,10,69,4,91,3753,12,2018,Brazoria
WEST COLUMBIA PD,NA,0,2,0,5,23,69,4,103,3899,12,2018,Brazoria
ALVIN PD,NA,1,17,11,28,48,370,49,524,26798,12,2018,Brazoria
PEARLAND PD,NA,2,21,32,67,215,1534,94,1965,124179,12,2018,Brazoria
BRAZORIA CO SO,NA,0,20,35,116,251,838,137,1397,120066,12,2018,Brazoria
DANBURY PD (NR),NA,1,0,0,1,0,0,0,2,1777,12,2018,Brazoria
ALVIN COMM COLLEGE PD,NA,0,0,0,0,0,5,0,5,0,12,2018,Brazoria
SURFSIDE BEACH PD,NA,0,2,1,3,7,25,1,39,582,12,2018,Brazoria
ANGLETON ISD PD,NA,0,2,0,7,4,18,0,31,0,12,2018,Brazoria
COLUMBIA-BRAZORIA ISD PD,NA,0,0,0,0,0,2,0,2,0,12,2018,Brazoria
BRAZOSPORT ISD PD,NA,0,1,0,13,0,18,0,32,0,12,2018,Brazoria
ANGLETON PD,NA,0,6,2,24,45,173,23,273,19650,12,2018,Brazoria
CLUTE PD,NA,0,20,8,11,41,226,23,329,11695,12,2018,Brazoria
ALVIN ISD PD,NA,0,3,2,7,6,148,0,166,0,12,2018,Brazoria
LAKE JACKSON PD,NA,0,21,7,22,61,459,33,603,27568,12,2018,Brazoria
BRAZORIA PD,NA,0,1,3,4,11,58,6,83,3109,12,2018,Brazoria
JONES CREEK PD (NR),NA,0,0,1,0,9,17,1,28,2099,12,2018,Brazoria
RICHWOOD PD,NA,0,2,2,0,7,24,4,39,3967,12,2018,Brazoria
FREEPORT PD,NA,0,5,1,43,24,136,0,209,12185,12,2018,Brazoria
BRYAN PD,NA,2,55,53,222,373,1561,139,2405,85152,12,2018,Brazos
TX A&M UNIV: COLLEGE STATION PD,NA,0,10,0,6,51,339,11,417,0,12,2018,Brazos
COLLEGE STATION PD,NA,1,76,30,130,285,1988,149,2659,116565,12,2018,Brazos
BRAZOS CO SO,NA,1,9,0,37,75,199,31,352,24658,12,2018,Brazos
BREWSTER CO SO,NA,0,3,1,4,6,8,0,22,3250,12,2018,Brewster
ALPINE PD,NA,1,1,0,15,34,25,1,77,6073,12,2018,Brewster
SUL ROSS STATE UNIV PD,NA,0,0,0,0,4,4,0,8,0,12,2018,Brewster
BRISCOE CO SO,NA,0,0,0,1,1,6,0,8,1510,12,2018,Briscoe
FALFURRIAS PD,NA,0,0,0,12,79,64,0,155,4921,12,2018,Brooks
BROOKS CO SO,NA,0,0,0,0,0,0,0,0,2298,12,2018,Brooks
EARLY PD,NA,0,7,1,13,10,36,3,70,3009,12,2018,Brown
BROWNWOOD PD,NA,1,27,3,76,87,431,31,656,18772,12,2018,Brown
BROWN CO SO,NA,0,0,0,21,65,82,6,174,14601,12,2018,Brown
BANGS PD,NA,0,0,0,0,2,3,0,5,1561,12,2018,Brown
SOMERVILLE PD,NA,0,1,1,4,6,14,3,29,1445,12,2018,Burleson
BURLESON CO SO,NA,0,5,0,21,54,50,8,138,12268,12,2018,Burleson
CALDWELL PD,NA,0,0,1,2,0,45,0,48,4361,12,2018,Burleson
MARBLE FALLS PD,NA,0,2,1,6,44,187,7,247,6579,12,2018,Burnet
GRANITE SHOALS PD (NR),NA,0,1,0,5,3,20,2,31,5144,12,2018,Burnet
BURNET CO SO,NA,0,23,1,28,60,106,30,248,25657,12,2018,Burnet
HORSESHOE BAY PD,NA,0,0,1,9,5,41,4,60,3936,12,2018,Burnet
BERTRAM PD,NA,0,0,0,5,4,8,4,21,1454,12,2018,Burnet
BURNET PD,NA,0,3,0,21,16,38,4,82,6410,12,2018,Burnet
MARTINDALE PD (NR),NA,0,0,1,0,2,1,0,4,1286,12,2018,Caldwell
CALDWELL CO SO,NA,0,0,5,28,39,59,16,147,21187,12,2018,Caldwell
LULING PD,NA,0,5,4,26,17,75,5,132,5979,12,2018,Caldwell
LOCKHART PD,NA,1,1,0,11,44,122,7,186,13944,12,2018,Caldwell
CALHOUN CO ISD PD,NA,0,0,0,1,0,0,0,1,0,12,2018,Calhoun
CALHOUN CO SO,NA,0,10,0,26,26,51,16,129,7311,12,2018,Calhoun
PORT LAVACA PD,NA,1,4,4,37,68,102,11,227,12214,12,2018,Calhoun
CLYDE PD,NA,0,0,0,1,41,31,6,79,3890,12,2018,Callahan
CALLAHAN CO SO,NA,0,1,1,6,15,16,6,45,8575,12,2018,Callahan
BAIRD MARSHAL’S OFFICE,NA,0,0,0,0,12,14,2,28,1506,12,2018,Callahan
CAMERON CO SO,NA,1,51,15,97,324,564,49,1101,104557,12,2018,Cameron
LA FERIA PD,NA,0,0,0,31,41,92,5,169,7384,12,2018,Cameron
LOS FRESNOS PD,NA,0,2,0,40,10,115,7,174,7947,12,2018,Cameron
BROWNSVILLE PD,NA,2,14,142,445,550,4160,140,5453,184461,12,2018,Cameron
SANTA ROSA ISD PD,NA,0,0,0,0,0,0,0,0,0,12,2018,Cameron
TSTC: HARLINGEN PD,NA,0,0,0,1,0,15,0,16,0,12,2018,Cameron
INDIAN LAKE PD (NR),NA,0,0,0,0,1,2,0,3,860,12,2018,Cameron
PALM VALLEY PD (NR),NA,0,0,0,0,3,3,0,6,1265,12,2018,Cameron
BROWNSVILLE ISD PD,NA,0,1,1,41,7,184,1,235,0,12,2018,Cameron
PORT OF BROWNSVILLE PD,NA,0,0,0,1,1,2,0,4,0,12,2018,Cameron
PORT ISABEL PD,NA,0,1,0,17,17,143,9,187,5064,12,2018,Cameron
SANTA ROSA PD (NR),NA,0,0,0,0,4,4,0,8,2797,12,2018,Cameron
COMBES PD,NA,0,0,0,4,14,39,0,57,3090,12,2018,Cameron
RIO HONDO PD,NA,0,0,0,4,10,20,0,34,2835,12,2018,Cameron
HARLINGEN PD,NA,2,49,50,169,461,2277,77,3085,65525,12,2018,Cameron
LAGUNA VISTA PD,NA,0,0,0,6,14,6,1,27,3206,12,2018,Cameron
SOUTH PADRE ISLAND PD,NA,0,23,1,33,34,399,29,519,2830,12,2018,Cameron
PRIMERA PD,NA,0,2,0,1,7,21,2,33,4954,12,2018,Cameron
SAN BENITO PD,NA,0,33,9,23,193,798,27,1083,24559,12,2018,Cameron
LOS INDIOS PD,NA,0,0,0,2,3,3,1,9,1067,12,2018,Cameron
RANCHO VIEJO PD,NA,0,0,0,2,6,8,0,16,2483,12,2018,Cameron
PITTSBURG PD,NA,0,4,0,19,27,65,9,124,4668,12,2018,Camp
CAMP CO SO,NA,0,0,0,2,28,35,11,76,8218,12,2018,Camp
CARSON CO SO,NA,0,2,0,9,11,20,5,47,3661,12,2018,Carson
PANHANDLE PD,NA,1,0,0,10,7,6,2,26,2337,12,2018,Carson
CASS CO SO,NA,0,4,3,32,93,85,30,247,18904,12,2018,Cass
ATLANTA PD,NA,0,7,3,26,45,122,6,209,5462,12,2018,Cass
LINDEN PD,NA,0,0,0,3,6,28,3,40,1927,12,2018,Cass
HUGHES SPRINGS PD,NA,0,0,0,4,5,8,2,19,1734,12,2018,Cass
QUEEN CITY PD,NA,0,1,0,9,2,15,1,28,1449,12,2018,Cass
CASTRO CO SO,NA,1,0,0,1,7,11,2,22,3528,12,2018,Castro
DIMMITT PD,NA,0,3,0,10,18,40,10,81,4255,12,2018,Castro
CHAMBERS CO SO,NA,3,4,10,40,111,436,72,676,31682,12,2018,Chambers
MONT BELVIEU PD,NA,0,2,0,4,15,75,13,109,6301,12,2018,Chambers
BARBERS HILL ISD PD,NA,0,0,0,0,0,2,0,2,0,12,2018,Chambers
CHEROKEE CO SO,NA,1,12,2,72,146,235,47,515,31516,12,2018,Cherokee
JACKSONVILLE PD,NA,1,7,4,60,99,258,19,448,14960,12,2018,Cherokee
CUNEY PD,NA,0,0,0,0,3,1,1,5,140,12,2018,Cherokee
RUSK PD,NA,0,3,4,11,28,51,6,103,5539,12,2018,Cherokee
CHILDRESS CO SO,NA,0,0,0,0,6,3,1,10,979,12,2018,Childress
CLAY CO SO,NA,0,9,5,11,65,40,19,149,10348,12,2018,Clay
COCHRAN CO SO,NA,0,0,0,0,2,0,0,2,2803,12,2018,Cochran
COKE CO SO,NA,1,0,0,0,1,0,0,2,3295,12,2018,Coke
COLEMAN PD,NA,0,3,1,13,31,6,3,57,4366,12,2018,Coleman
SANTA ANNA PD,NA,0,2,0,1,1,1,0,5,1037,12,2018,Coleman
PLANO PD,NA,6,85,119,211,698,3981,380,5480,289897,12,2018,Collin
FAIRVIEW PD,NA,0,2,0,0,5,47,1,55,9220,12,2018,Collin
FARMERSVILLE ISD PD,NA,0,0,0,0,0,1,0,1,0,12,2018,Collin
MCKINNEY PD,NA,0,72,77,148,252,1596,156,2301,189555,12,2018,Collin
ALLEN PD,NA,0,31,22,58,115,1095,67,1388,103168,12,2018,Collin
CELINA PD,NA,0,3,1,11,19,70,1,105,10559,12,2018,Collin
COLLIN CO SO,NA,3,36,3,37,96,212,47,434,47583,12,2018,Collin
PARKER PD,NA,0,1,0,1,4,22,1,29,4746,12,2018,Collin
ANNA PD,NA,0,3,2,11,22,140,12,190,13579,12,2018,Collin
PROSPER PD,NA,0,7,0,56,31,154,3,251,22570,12,2018,Collin
WYLIE PD,NA,0,15,9,11,30,349,18,432,51051,12,2018,Collin
LAVON PD,NA,0,1,0,2,1,26,0,30,3299,12,2018,Collin
FARMERSVILLE PD,NA,0,3,2,11,13,39,1,69,3489,12,2018,Collin
FRISCO PD,NA,2,49,21,97,245,2196,139,2749,187889,12,2018,Collin
MURPHY PD,NA,0,2,2,7,6,101,5,123,21084,12,2018,Collin
JOSEPHINE PD,NA,0,1,0,2,0,8,4,15,1701,12,2018,Collin
PRINCETON PD,NA,0,8,3,8,14,159,13,205,10749,12,2018,Collin
MELISSA PD,NA,0,3,0,6,16,42,1,68,10107,12,2018,Collin
COLLINGSWORTH CO SO,NA,0,0,0,0,0,0,0,0,2970,12,2018,Collingsworth
COLUMBUS PD,NA,0,1,2,6,12,52,5,78,3654,12,2018,Colorado
COLORADO CO SO,NA,0,2,0,10,17,65,22,116,11651,12,2018,Colorado
WEIMAR PD,NA,0,2,0,1,5,17,1,26,2189,12,2018,Colorado
EAGLE LAKE PD (NR),NA,0,0,0,0,4,1,0,5,3731,12,2018,Colorado
COMAL CO SO,NA,2,44,2,91,161,320,36,656,66617,12,2018,Comal
NEW BRAUNFELS PD,NA,2,43,22,174,215,896,90,1442,82739,12,2018,Comal
GARDEN RIDGE PD,NA,0,1,0,1,12,36,2,52,4055,12,2018,Comal
BULVERDE PD,NA,0,0,2,6,7,78,2,95,5257,12,2018,Comal
COMANCHE PD,NA,0,0,1,18,28,51,2,100,4188,12,2018,Comanche
DE LEON PD,NA,1,1,0,2,9,28,2,43,2169,12,2018,Comanche
COMANCHE CO SO,NA,0,0,0,2,19,36,6,63,7125,12,2018,Comanche
CONCHO CO SO,NA,0,0,0,11,2,7,0,20,2585,12,2018,Concho
OAK RIDGE PD (NR),NA,0,0,0,0,0,0,0,0,223,12,2018,Cooke
COOKE CO SO,NA,0,4,1,11,49,59,8,132,22494,12,2018,Cooke
GAINESVILLE PD,NA,0,20,12,62,75,270,18,457,16478,12,2018,Cooke
COPPERAS COVE PD,NA,0,6,11,126,123,486,20,772,32754,12,2018,Coryell
CORYELL CO SO,NA,0,0,0,7,10,61,4,82,30139,12,2018,Coryell
GATESVILLE PD,NA,0,12,1,14,65,143,12,247,12377,12,2018,Coryell
PADUCAH PD (NR),NA,1,0,0,1,2,0,1,5,1076,12,2018,Cottle
CRANE CO SO,NA,0,0,0,0,3,2,1,6,1090,12,2018,Crane
CRANE PD,NA,0,1,0,0,2,8,1,12,3692,12,2018,Crane
CROCKETT CO SO,NA,0,0,1,2,106,11,0,120,3535,12,2018,Crockett
CROSBY CO SO,NA,0,0,0,4,11,6,3,24,1177,12,2018,Crosby
CROSBYTON PD (NR),NA,0,0,0,0,7,7,1,15,1647,12,2018,Crosby
RALLS PD (NR),NA,0,0,2,5,5,4,4,20,1852,12,2018,Crosby
LORENZO PD (NR),NA,0,2,0,0,0,0,0,2,1188,12,2018,Crosby
CULBERSON CO SO (NR),NA,0,0,0,0,0,0,0,0,2201,12,2018,Culberson
DALHART PD,NA,1,7,0,14,57,109,15,203,8401,12,2018,Dallam
DALLAM CO SO,NA,0,0,0,1,3,0,0,4,1569,12,2018,Dallam
BAYLOR HEALTH CARE SYSTEM PD,NA,0,0,1,6,2,375,15,399,0,12,2018,Dallas
HIGHLAND PARK PD,NA,0,1,2,1,28,163,24,219,9302,12,2018,Dallas
FARMERS BRANCH PD,NA,2,11,27,25,110,687,132,994,38495,12,2018,Dallas
OVILLA PD,NA,0,0,0,2,1,17,3,23,4207,12,2018,Dallas
ROWLETT PD,NA,1,19,17,81,95,761,76,1050,63863,12,2018,Dallas
SOUTHERN METHODIST UNIV PD,NA,0,2,0,2,15,154,3,176,0,12,2018,Dallas
IRVING PD,NA,10,55,218,227,712,4327,720,6269,243940,12,2018,Dallas
CEDAR HILL PD,NA,1,18,27,39,118,1162,99,1464,49253,12,2018,Dallas
UNIVERSITY PARK PD,NA,0,1,4,0,36,251,38,330,25516,12,2018,Dallas
COPPELL PD,NA,0,6,11,13,54,436,42,562,42415,12,2018,Dallas
DESOTO PD,NA,0,29,59,95,206,844,185,1418,54201,12,2018,Dallas
UNIV OF TX: SW MED SCHOOL PD,NA,0,0,2,1,0,143,12,158,0,12,2018,Dallas
DALLAS CO SO,NA,1,20,2,27,44,155,37,286,7078,12,2018,Dallas
DUNCANVILLE PD,NA,1,17,100,97,183,917,153,1468,39618,12,2018,Dallas
CARROLLTON PD,NA,5,46,57,83,329,1755,280,2555,138216,12,2018,Dallas
LANCASTER PD,NA,4,17,64,91,150,660,182,1168,39772,12,2018,Dallas
GRAND PRAIRIE PD,NA,10,77,129,267,489,2923,485,4380,196535,12,2018,Dallas
ADDISON PD,NA,0,13,19,40,78,706,88,944,15839,12,2018,Dallas
SACHSE PD,NA,0,9,2,5,26,166,16,224,26839,12,2018,Dallas
UNIV OF TX: DALLAS PD,NA,0,1,0,1,10,125,4,141,0,12,2018,Dallas
SEAGOVILLE PD,NA,0,0,4,8,72,210,102,396,16981,12,2018,Dallas
COCKRELL HILL PD,NA,0,3,8,7,17,71,18,124,4259,12,2018,Dallas
HUTCHINS PD,NA,0,1,7,5,93,145,30,281,5671,12,2018,Dallas
GARLAND PD,NA,9,114,246,290,1113,4514,827,7113,239577,12,2018,Dallas
RICHARDSON PD,NA,2,18,52,63,364,1944,214,2657,119480,12,2018,Dallas
GLENN HEIGHTS PD,NA,0,8,8,20,61,131,19,247,13375,12,2018,Dallas
BALCH SPRINGS PD,NA,2,13,52,93,117,563,160,1000,25565,12,2018,Dallas
WILMER PD,NA,0,0,2,7,16,68,9,102,4199,12,2018,Dallas
MESQUITE PD,NA,7,54,210,301,812,3606,824,5814,144558,12,2018,Dallas
DALLAS CO. HOSP DIST PD (NR),NA,0,1,2,9,9,329,10,360,0,12,2018,Dallas
DALLAS PD,NA,153,770,3984,5433,9093,25671,9661,54765,1362465,12,2018,Dallas
LAMESA PD,NA,1,10,3,29,98,257,19,417,9183,12,2018,Dawson
DAWSON CO SO,NA,0,0,1,3,19,30,2,55,3340,12,2018,Dawson
DEAF SMITH CO SO,NA,0,1,0,5,14,36,4,60,3884,12,2018,Deaf Smith
HEREFORD PD,NA,0,6,15,76,83,240,25,445,14812,12,2018,Deaf Smith
DELTA CO SO,NA,0,0,0,3,10,18,1,32,5292,12,2018,Delta
BARTONVILLE PD,NA,0,0,0,0,1,18,1,20,1756,12,2018,Denton
PILOT POINT PD,NA,0,0,0,0,3,7,1,11,4387,12,2018,Denton
THE COLONY PD,NA,0,78,5,36,61,381,36,597,43697,12,2018,Denton
FLOWER MOUND PD,NA,0,14,10,21,44,590,34,713,78542,12,2018,Denton
ROANOKE PD,NA,0,0,3,18,15,78,6,120,8489,12,2018,Denton
NORTHLAKE PD,NA,1,2,3,7,4,51,8,76,2946,12,2018,Denton
LEWISVILLE PD,NA,4,45,71,139,353,1846,234,2692,107560,12,2018,Denton
UNIV OF NORTH TEXAS PD,NA,0,3,1,1,12,157,3,177,0,12,2018,Denton
AUBREY PD,NA,0,0,0,13,16,11,3,43,3523,12,2018,Denton
PONDER PD,NA,4,2,0,6,3,14,2,31,2049,12,2018,Denton
HICKORY CREEK PD,NA,0,2,0,9,8,89,4,112,4795,12,2018,Denton
CORINTH PD,NA,0,1,2,9,31,150,9,202,21352,12,2018,Denton
LITTLE ELM PD,NA,1,37,7,43,39,216,20,363,50547,12,2018,Denton
LAKE DALLAS PD,NA,0,8,1,28,25,65,12,139,8084,12,2018,Denton
KRUGERVILLE PD,NA,0,0,1,1,4,60,3,69,3106,12,2018,Denton
ARGYLE PD,NA,0,0,0,0,7,9,1,17,4236,12,2018,Denton
TROPHY CLUB PD,NA,0,1,1,0,5,58,6,71,13090,12,2018,Denton
DENTON CO SO,NA,0,29,1,45,125,326,35,561,134628,12,2018,Denton
TEXAS WOMAN'S UNIV PD,NA,0,1,0,2,0,38,0,41,0,12,2018,Denton
DENTON PD,NA,2,121,97,214,405,2614,226,3679,139262,12,2018,Denton
HIGHLAND VILLAGE PD,NA,0,2,1,6,9,111,7,136,16805,12,2018,Denton
SANGER PD,NA,0,6,0,21,23,72,12,134,8457,12,2018,Denton
DOUBLE OAK PD,NA,0,1,0,1,0,12,0,14,3108,12,2018,Denton
CUERO PD,NA,0,1,1,62,30,162,7,263,8300,12,2018,DeWitt
DEWITT CO SO,NA,2,7,0,23,128,77,7,244,7706,12,2018,DeWitt
SPUR PD (NR),NA,0,0,0,0,3,0,0,3,1187,12,2018,Dickens
DICKENS CO SO (NR),NA,0,1,0,0,0,0,2,3,984,12,2018,Dickens
DIMMIT CO SO,NA,0,1,0,8,21,88,7,125,10447,12,2018,Dimmit
DONLEY CO SO,NA,0,0,2,3,10,22,5,42,3245,12,2018,Donley
FREER PD,NA,0,0,1,6,5,24,0,36,2667,10,2018,Duval
SAN DIEGO PD,NA,0,0,1,12,3,0,0,16,4261,12,2018,Duval
DUVAL CO SO,NA,0,1,0,16,36,56,30,139,5160,12,2018,Duval
CISCO PD,NA,0,0,0,10,8,20,2,40,3789,12,2018,Eastland
RANGER PD,NA,0,1,0,21,19,16,2,59,2454,12,2018,Eastland
EASTLAND PD,NA,0,6,1,3,28,58,5,101,3929,12,2018,Eastland
GORMAN PD (NR),NA,0,1,0,0,4,2,1,8,1038,12,2018,Eastland
CISCO COLLEGE PD,NA,0,0,0,0,1,2,0,3,0,12,2018,Eastland
EASTLAND CO SO,NA,0,2,0,0,12,12,8,34,6294,12,2018,Eastland
ECTOR CO ISD PD,NA,0,0,1,72,15,39,1,128,0,12,2018,Ector
ODESSA PD,NA,8,118,104,819,504,2123,369,4045,119545,12,2018,Ector
UNIV OF TX: PERMIAN BASIN PD,NA,0,1,0,1,13,7,0,22,0,12,2018,Ector
ECTOR CO SO,NA,4,6,22,77,271,1020,263,1663,42299,12,2018,Ector
EDWARDS CO SO,NA,0,1,0,2,11,10,0,24,1942,12,2018,Edwards
MILFORD PD,NA,0,2,0,0,0,2,3,7,750,11,2018,Ellis
ITALY PD,NA,1,0,0,2,4,6,0,13,1943,12,2018,Ellis
RED OAK PD,NA,0,0,9,13,59,257,20,358,13095,12,2018,Ellis
PALMER PD,NA,0,0,1,2,5,9,1,18,2083,12,2018,Ellis
WAXAHACHIE PD,NA,1,4,17,51,65,417,45,600,36225,12,2018,Ellis
