OBJECTID,USER_RMSOccurrenceDate,USER_RMSOccurrenceHour,USER_Incident,USER_NIBRSClass,USER_NIBRSDescription,USER_District,USER_Beat,USER_Premise,USER_OffenseAddressMiddle,USER_BlockRange,USER_StreetName,USER_StreetType,USER_Suffix,USER_ZIPCode,USER_ORI,DISTRICT_1,SNBNAME,OLC,newdate
4487374,1662681600000,01,121563122,13A,Aggravated Assault,12,12D60,"Residence, Home (Includes Apartment)",16249 EL CAMINO REAL,16200-16299,EL CAMINO REAL,,,77062,TXHPD0000,E,CLEAR LAKE,76X6HV6F+FG,2022-09-08
4487377,1662940800000,20,123173222,13C,Intimidation,12,12D70,"Residence, Home (Includes Apartment)",549 TRESVANT,500-599,TRESVANT,DR,,77598,TXHPD0000,E,CLEAR LAKE,76X6HV63+WR,2022-09-11
4487384,1662595200000,04,121251922,11A,Forcible rape,16,16E40,"Residence, Home (Includes Apartment)",17349 EDGEHAVEN,17300-17399,EDGEHAVEN,DR,,77489,TXHPD0000,K,FORT BEND HOUSTON,76X6HFFJ+6P,2022-09-07
4487389,1662768000000,15,122098122,13C,Intimidation,12,12D60,"Residence, Home (Includes Apartment)",1549 BAY AREA,1500-1599,BAY AREA,BLVD,,77058,TXHPD0000,E,CLEAR LAKE,76X6HV7P+45,2022-09-09
4487401,1662336000000,21,119757822,13C,Intimidation,12,12D60,"Residence, Home (Includes Apartment)",1649 BAY AREA,1600-1699,BAY AREA,BLVD,,77058,TXHPD0000,E,CLEAR LAKE,76X6HV7P+JC,2022-09-04
4487402,1662595200000,19,121246222,13B,Simple assault,12,12D60,"Residence, Home (Includes Apartment)",1649 BAY AREA,1600-1699,BAY AREA,BLVD,,77058,TXHPD0000,E,CLEAR LAKE,76X6HV7P+JC,2022-09-07
4487407,1662768000000,16,122121422,13B,Simple assault,12,12D70,"Residence, Home (Includes Apartment)",549 BARRINGER,500-599,BARRINGER,LN,,77598,TXHPD0000,E,CLEAR LAKE,76X6HV83+44,2022-09-09
4487414,1662249600000,18,119655922,13B,Simple assault,12,12D70,"Residence, Home (Includes Apartment)",15249 GALVESTON,15200-15299,GALVESTON,RD,,77598,TXHPD0000,E,CLEAR LAKE,76X6HV84+96,2022-09-03
4487416,1662249600000,01,118975222,13B,Simple assault,12,12D70,"Parking Lot, Garage",649 BARRINGER,600-699,BARRINGER,LN,,77598,TXHPD0000,E,CLEAR LAKE,76X6HV83+HQ,2022-09-03
4487417,1662336000000,02,119443022,13B,Simple assault,12,12D70,"Residence, Home (Includes Apartment)",649 BARRINGER,600-699,BARRINGER,LN,,77598,TXHPD0000,E,CLEAR LAKE,76X6HV83+HQ,2022-09-04
4487435,1663113600000,19,124161622,13A,Aggravated Assault,16,16E40,"Service, Gas Station",3749 MCHARD,3700-3799,MCHARD,RD,,77489,TXHPD0000,K,FORT BEND HOUSTON,76X6HFJJ+2W,2022-09-13
4487439,1662422400000,13,120045522,13A,Aggravated Assault,00,OOJ,"Residence, Home (Includes Apartment)",6249 MCHARD,6200-6299,MCHARD,RD,,77053,TXHPD0000,,,76X6HGJG+86,2022-09-05
4487448,1662595200000,12,121036622,13C,Intimidation,16,16E40,"Residence, Home (Includes Apartment)",16849 RAPIDCREEK,16800-16899,RAPIDCREEK,DR,,77053,TXHPD0000,K,FORT BEND HOUSTON,76X6HGJP+WM,2022-09-07
4487449,1662508800000,19,120746922,13C,Intimidation,16,16E40,"Residence, Home (Includes Apartment)",4649 RIPPLE RIDGE,4600-4699,RIPPLE RIDGE,DR,N,77053,TXHPD0000,K,FORT BEND HOUSTON,76X6HGMV+4M,2022-09-06
4487461,1663027200000,14,123497022,13C,Intimidation,12,12D50,"Residence, Home (Includes Apartment)",349 CYBERONICS,300-399,CYBERONICS,BLVD,,77058,TXHPD0000,E,CLEAR LAKE,76X6HVFV+JJ,2022-09-12
4487467,1663200000000,10,124402922,13B,Simple assault,16,16E40,"Parking Lot, Garage",16549 CHIMNEY ROCK,16500-16599,CHIMNEY ROCK,RD,,77053,TXHPD0000,K,FORT BEND HOUSTON,76X6HGP8+3V,2022-09-14
4487470,1662422400000,21,120306122,13B,Simple assault,16,16E40,"Residence, Home (Includes Apartment)",4749 COURT,4700-4799,COURT,RD,,77053,TXHPD0000,K,FORT BEND HOUSTON,76X6HGPV+59,2022-09-05
4487475,1663027200000,17,123597622,13C,Intimidation,14,14D10,"Residence, Home (Includes Apartment)",3949 ALICE,3900-3999,ALICE,ST,,77021,TXHPD0000,,,76X6HPJ7+GR,2022-09-12
4487480,1662768000000,05,122105022,100,"Kidnapping, Abduction",16,16E40,"Residence, Home (Includes Apartment)",8449 BLUE QUAIL,8400-8499,BLUE QUAIL,DR,,77489,TXHPD0000,K,FORT BEND HOUSTON,76X6HFQM+8V,2022-09-09
4487481,1662768000000,05,122105022,11A,Forcible rape,16,16E40,"Residence, Home (Includes Apartment)",8449 BLUE QUAIL,8400-8499,BLUE QUAIL,DR,,77489,TXHPD0000,K,FORT BEND HOUSTON,76X6HFQM+8V,2022-09-09
4487482,1662768000000,05,122105022,11B,Forcible sodomy,16,16E40,"Residence, Home (Includes Apartment)",8449 BLUE QUAIL,8400-8499,BLUE QUAIL,DR,,77489,TXHPD0000,K,FORT BEND HOUSTON,76X6HFQM+8V,2022-09-09
4487496,1662508800000,14,121113822,13B,Simple assault,12,12D50,"Parking Lot, Garage",2749 BAY AREA,2700-2799,BAY AREA,BLVD,,77058,TXHPD0000,E,CLEAR LAKE,76X6HVHV+6C,2022-09-06
4487497,1662940800000,17,123080822,13B,Simple assault,12,12D50,"Hotel, Motel, ETC",2749 BAY AREA,2700-2799,BAY AREA,BLVD,,77058,TXHPD0000,E,CLEAR LAKE,76X6HVHV+6C,2022-09-11
4487500,1662163200000,17,118815722,13A,Aggravated Assault,12,12D40,"Residence, Home (Includes Apartment)",12649 EGRET HILL,12600-12699,EGRET HILL,CT,,77089,TXHPD0000,D,SOUTH BELT / ELLINGTON,76X6HRJ5+73,2022-09-02
4487502,1662422400000,18,120202422,100,"Kidnapping, Abduction",16,16E40,"Parking Lot, Garage",16349 POST OAK,16300-16399,POST OAK,RD,S,77053,TXHPD0000,K,FORT BEND HOUSTON,76X6HGQH+GV,2022-09-05
4487519,1662508800000,15,120645322,13C,Intimidation,12,12D50,"Residence, Home (Includes Apartment)",14549 SYCAMORE LAKE,14500-14599,SYCAMORE LAKE,RD,,77062,TXHPD0000,E,CLEAR LAKE,76X6HVJ4+CV,2022-09-06
4487524,1663113600000,17,124474422,11A,Forcible rape,12,12D40,"Residence, Home (Includes Apartment)",11849 ASTORIA,11800-11899,ASTORIA,BLVD,,77089,TXHPD0000,D,SOUTH BELT / ELLINGTON,76X6HQMR+FF,2022-09-13
4487525,1662422400000,15,120111022,13B,Simple assault,16,16E40,"Residence, Home (Includes Apartment)",16149 CHIMNEY ROCK,16100-16199,CHIMNEY ROCK,RD,,77053,TXHPD0000,K,FORT BEND HOUSTON,76X6HGR8+FF,2022-09-05
4487547,1662422400000,12,120147322,13B,Simple assault,16,16E40,"Residence, Home (Includes Apartment)",4749 BEECHAVEN,4700-4799,BEECHAVEN,DR,,77053,TXHPD0000,K,FORT BEND HOUSTON,76X6HGRX+JP,2022-09-05
4487550,1662076800000,14,118272722,13A,Aggravated Assault,16,16E40,"Residence, Home (Includes Apartment)",6749 TRIGATE,6700-6799,TRIGATE,DR,,77489,TXHPD0000,K,FORT BEND HOUSTON,76X6HGV7+6G,2022-09-01
4487552,1663113600000,00,123731322,13C,Intimidation,16,16E40,"Residence, Home (Includes Apartment)",5949 BEACONRIDGE,5900-5999,BEACONRIDGE,DR,,77053,TXHPD0000,K,FORT BEND HOUSTON,76X6HGVF+4X,2022-09-13
4487553,1662336000000,10,119588822,13B,Simple assault,16,16E40,"Residence, Home (Includes Apartment)",6649 TRIGATE,6600-6699,TRIGATE,DR,,77489,TXHPD0000,K,FORT BEND HOUSTON,76X6HGV8+68,2022-09-04
4487555,1662854400000,15,122851322,13C,Intimidation,12,12D40,"Residence, Home (Includes Apartment)",12549 NEW ROCHELLE,12500-12599,NEW ROCHELLE,CT,,77089,TXHPD0000,D,SOUTH BELT / ELLINGTON,76X6HRP3+46,2022-09-10
4487557,1663113600000,10,123887822,13C,Intimidation,12,12D40,"Drug Store, Doctors Office, Hospital",11949 ASTORIA,11900-11999,ASTORIA,BLVD,,77089,TXHPD0000,D,SOUTH BELT / ELLINGTON,76X6HQPV+9Q,2022-09-13
4487561,1662422400000,21,120294822,13B,Simple assault,12,12D20,"Residence, Home (Includes Apartment)",11249 SAGEBURROW,11200-11299,SAGEBURROW,DR,,77089,TXHPD0000,D,SOUTH BELT / ELLINGTON,76X6HQPC+MX,2022-09-05
4487571,1662422400000,17,120182022,13B,Simple assault,16,16E40,"Highway, Road, Street, Alley",15949 POST OAK,15900-15999,POST OAK,RD,S,77053,TXHPD0000,K,FORT BEND HOUSTON,76X6HGVJ+PX,2022-09-05
4487577,1662854400000,18,122706622,13C,Intimidation,16,16E40,"Residence, Home (Includes Apartment)",15849 BLUE RIDGE,15800-15899,BLUE RIDGE,RD,,77489,TXHPD0000,K,FORT BEND HOUSTON,76X6HGW5+83,2022-09-10
4487581,1662163200000,10,118743622,13A,Aggravated Assault,16,16E40,"Residence, Home (Includes Apartment)",4749 CALLERY CREEK,4700-4799,CALLERY CREEK,DR,,77053,TXHPD0000,K,FORT BEND HOUSTON,76X6HGWX+69,2022-09-02
4487582,1662163200000,10,118743622,13B,Simple assault,16,16E40,"Residence, Home (Includes Apartment)",4749 CALLERY CREEK,4700-4799,CALLERY CREEK,DR,,77053,TXHPD0000,K,FORT BEND HOUSTON,76X6HGWX+69,2022-09-02
4487585,1662854400000,14,122528722,13A,Aggravated Assault,12,12D20,"Residence, Home (Includes Apartment)",10849 SAGECANYON,10800-10899,SAGECANYON,DR,,77089,TXHPD0000,D,SOUTH BELT / ELLINGTON,76X6HQQ8+WC,2022-09-10
4487592,1662249600000,11,119139522,13B,Simple assault,16,16E40,"Residence, Home (Includes Apartment)",5649 IRISH HILL,5600-5699,IRISH HILL,DR,,77053,TXHPD0000,K,FORT BEND HOUSTON,76X6HGWJ+RF,2022-09-03
4487597,1662508800000,22,120799122,13B,Simple assault,12,12D40,"Residence, Home (Includes Apartment)",12149 WESSEX,12100-12199,WESSEX,DR,,77089,TXHPD0000,D,SOUTH BELT / ELLINGTON,76X6HRQ4+XR,2022-09-06
4487615,1662681600000,04,122077022,13C,Intimidation,16,16E40,"Highway, Road, Street, Alley",7449 CASTLEVIEW,7400-7499,CASTLEVIEW,LN,,77489,TXHPD0000,K,FORT BEND HOUSTON,76X6HGX2+VP,2022-09-08
4487616,1662681600000,10,121499522,13B,Simple assault,16,16E40,"Residence, Home (Includes Apartment)",5449 ARTHINGTON,5400-5499,ARTHINGTON,AVE,,77053,TXHPD0000,K,FORT BEND HOUSTON,76X6HGXP+H6,2022-09-08
4487617,1662681600000,10,121499522,13C,Intimidation,16,16E40,"Residence, Home (Includes Apartment)",5449 ARTHINGTON,5400-5499,ARTHINGTON,AVE,,77053,TXHPD0000,K,FORT BEND HOUSTON,76X6HGXP+H6,2022-09-08
4487618,1663200000000,04,124298022,13A,Aggravated Assault,16,16E40,"Highway, Road, Street, Alley",5449 ARTHINGTON,5400-5499,ARTHINGTON,AVE,,77053,TXHPD0000,K,FORT BEND HOUSTON,76X6HGXP+H6,2022-09-14
4487636,1662076800000,22,118485122,13B,Simple assault,12,12D40,"Residence, Home (Includes Apartment)",749 FM 1959,700-799,FM 1959,RD,,77598,TXHPD0000,E,SOUTH BELT / ELLINGTON,76X6HRVC+42,2022-09-01
4487638,1662422400000,21,120280822,13C,Intimidation,12,12D40,"Residence, Home (Includes Apartment)",749 FM 1959,700-799,FM 1959,RD,,77598,TXHPD0000,E,SOUTH BELT / ELLINGTON,76X6HRVC+42,2022-09-05
4487640,1663200000000,08,124527822,13C,Intimidation,12,12D40,"Residence, Home (Includes Apartment)",749 FM 1959,700-799,FM 1959,RD,,77598,TXHPD0000,E,SOUTH BELT / ELLINGTON,76X6HRVC+42,2022-09-14
4487645,1662768000000,18,122171022,13C,Intimidation,12,12D20,"Residence, Home (Includes Apartment)",11049 SAGEHILL,11000-11099,SAGEHILL,DR,,77089,TXHPD0000,D,SOUTH BELT / ELLINGTON,76X6HQVG+RG,2022-09-09
4487648,1663113600000,07,124060322,13B,Simple assault,16,16E40,"Residence, Home (Includes Apartment)",15449 WILLVIEW,15400-15499,WILLVIEW,RD,,77489,TXHPD0000,K,FORT BEND HOUSTON,76X6JG24+W8,2022-09-13
4487649,1662422400000,00,119817322,13B,Simple assault,16,16E40,"Residence, Home (Includes Apartment)",7149 TOWERVIEW,7100-7199,TOWERVIEW,LN,,77489,TXHPD0000,K,FORT BEND HOUSTON,76X6JG24+WF,2022-09-05
4487650,1662508800000,14,120580122,13B,Simple assault,16,16E40,"Residence, Home (Includes Apartment)",7649 JONATHAN,7600-7699,JONATHAN,CT,,77489,TXHPD0000,K,FORT BEND HOUSTON,76X6JF3W+3G,2022-09-06
4487651,1662508800000,14,120580122,13C,Intimidation,16,16E40,"Residence, Home (Includes Apartment)",7649 JONATHAN,7600-7699,JONATHAN,CT,,77489,TXHPD0000,K,FORT BEND HOUSTON,76X6JF3W+3G,2022-09-06
4487652,1662768000000,22,122267322,13A,Aggravated Assault,12,12D50,"Residence, Home (Includes Apartment)",16349 LARKFIELD,16300-16399,LARKFIELD,DR,,77059,TXHPD0000,E,CLEAR LAKE,76X6HVRR+R3,2022-09-09
4487659,1662508800000,22,120806322,13A,Aggravated Assault,16,16E40,"Highway, Road, Street, Alley",15449 INDIAN WOODS,15400-15499,INDIAN WOODS,DR,,77489,TXHPD0000,K,FORT BEND HOUSTON,76X6JG38+22,2022-09-06
4487669,1662940800000,17,123141122,13A,Aggravated Assault,12,12D20,"Residence, Home (Includes Apartment)",10949 SAGELEAF,10900-10999,SAGELEAF,LN,,77089,TXHPD0000,D,SOUTH BELT / ELLINGTON,76X6HQWF+9J,2022-09-11
4487685,1662076800000,23,118505222,13A,Aggravated Assault,12,12D40,"Residence, Home (Includes Apartment)",11749 ALGONQUIN,11700-11799,ALGONQUIN,DR,,77089,TXHPD0000,D,SOUTH BELT / ELLINGTON,76X6HRW2+CQ,2022-09-01
4487688,1663200000000,06,124584322,13A,Aggravated Assault,00,HCSO,"Highway, Road, Street, Alley",14249 CULLEN,14200-14299,CULLEN,BLVD,,77047,TXHPD0000,,,76X6JJ2W+6F,2022-09-14
4487689,1662422400000,08,119921322,13B,Simple assault,16,16E30,"Residence, Home (Includes Apartment)",5649 DRAKESTONE,5600-5699,DRAKESTONE,BLVD,,77053,TXHPD0000,K,CENTRAL SOUTHWEST,76X6JG3J+GW,2022-09-05
4487698,1662076800000,10,120402722,13B,Simple assault,16,16E40,School-Elementary/Secondary,6949 CHASEWOOD,6900-6999,CHASEWOOD,DR,,77489,TXHPD0000,K,FORT BEND HOUSTON,76X6JG44+6M,2022-09-01
4487722,1662940800000,15,123016922,13B,Simple assault,12,12D20,"Residence, Home (Includes Apartment)",10849 KIRKFAIR,10800-10899,KIRKFAIR,DR,,77089,TXHPD0000,D,SOUTH BELT / ELLINGTON,76X6HQXC+R9,2022-09-11
4487724,1662854400000,10,122454822,13C,Intimidation,16,16E20,"Residence, Home (Includes Apartment)",5049 ANDERSON,5000-5099,ANDERSON,RD,,77053,TXHPD0000,K,CENTRAL SOUTHWEST,76X6JG4V+9P,2022-09-10
4487725,1663027200000,09,123346922,13B,Simple assault,13,13D40,"Parking Lot, Garage",11349 MONROE,11300-11399,MONROE,RD,,77075,TXHPD0000,D,SOUTH BELT / ELLINGTON,76X6JP2M+FF,2022-09-12
4487737,1662854400000,02,122344022,13C,Intimidation,14,14D50,"Residence, Home (Includes Apartment)",14249 WAYSIDE,14200-14299,WAYSIDE,DR,S,77048,TXHPD0000,D,MINNETEX,76X6JM3J+4V,2022-09-10
4487766,1663027200000,05,123283322,13C,Intimidation,01,01A10,"Hotel, Motel, ETC",1149 TEXAS,1100-1199,TEXAS,ST,,77002,TXHPD0000,,,76X6JF6C+8H,2022-09-12
4487772,1662681600000,04,121387622,13B,Simple assault,12,12D20,"Residence, Home (Includes Apartment)",11249 VALLEY KINGS,11200-11299,VALLEY KINGS,DR,,77089,TXHPD0000,D,SOUTH BELT / ELLINGTON,76X6JQ34+7W,2022-09-08
4487782,1662940800000,10,122966622,13C,Intimidation,12,12D20,"Residence, Home (Includes Apartment)",11149 VALLEY KINGS,11100-11199,VALLEY KINGS,DR,,77089,TXHPD0000,D,SOUTH BELT / ELLINGTON,76X6JQ34+HP,2022-09-11
4487790,1662940800000,02,122811622,13A,Aggravated Assault,16,16E40,"Residence, Home (Includes Apartment)",14649 CHASEMONT,14600-14699,CHASEMONT,DR,,77489,TXHPD0000,K,FORT BEND HOUSTON,76X6JF6V+J9,2022-09-11
4487806,1662076800000,16,118324422,13C,Intimidation,16,16E20,"Residence, Home (Includes Apartment)",14849 HIRAM CLARKE,14800-14899,HIRAM CLARKE,RD,,77053,TXHPD0000,K,CENTRAL SOUTHWEST,76X6JH63+9J,2022-09-01
4487816,1662336000000,00,119405622,13C,Intimidation,12,12D20,"Residence, Home (Includes Apartment)",9949 KIRKSHIRE,9900-9999,KIRKSHIRE,DR,,77089,TXHPD0000,D,SOUTH BELT / ELLINGTON,76X6JQ49+6V,2022-09-04
4487835,1662076800000,13,118379822,13C,Intimidation,12,12D20,Park/Playground,11649 GULF POINTE,11600-11699,GULF POINTE,DR,,77089,TXHPD0000,D,SOUTH BELT / ELLINGTON,76X6JQ4M+6J,2022-09-01
4487839,1662508800000,00,120328322,13B,Simple assault,12,12D20,"Residence, Home (Includes Apartment)",11649 GULF POINTE,11600-11699,GULF POINTE,DR,,77089,TXHPD0000,D,SOUTH BELT / ELLINGTON,76X6JQ4M+6J,2022-09-06
4487840,1662508800000,00,120328322,13C,Intimidation,12,12D20,"Residence, Home (Includes Apartment)",11649 GULF POINTE,11600-11699,GULF POINTE,DR,,77089,TXHPD0000,D,SOUTH BELT / ELLINGTON,76X6JQ4M+6J,2022-09-06
4487846,1663027200000,22,123702222,13B,Simple assault,16,16E20,"Residence, Home (Includes Apartment)",14749 MESA VILLAGE,14700-14799,MESA VILLAGE,DR,,77053,TXHPD0000,K,CENTRAL SOUTHWEST,76X6JH69+WF,2022-09-12
4487849,1662076800000,12,119065622,13C,Intimidation,12,12D10,"Other, Unknown",10849 NELLSFIELD,10800-10899,NELLSFIELD,LN,,77075,TXHPD0000,D,SOUTH BELT / ELLINGTON,76X6JP5R+3V,2022-09-01
4487854,1662768000000,01,121867322,13A,Aggravated Assault,12,12D20,"Residence, Home (Includes Apartment)",10649 SAGETREE,10600-10699,SAGETREE,DR,,77089,TXHPD0000,D,SOUTH BELT / ELLINGTON,76X6JQ4J+PJ,2022-09-09
4487877,1662681600000,15,121610622,13C,Intimidation,13,13D40,"Residence, Home (Includes Apartment)",8349 GARDEN PARKS,8300-8399,GARDEN PARKS,DR,,77075,TXHPD0000,D,GREATER HOBBY AREA,76X6JP5H+PP,2022-09-08
4487884,1662508800000,07,121832422,13C,Intimidation,12,12D20,"Residence, Home (Includes Apartment)",10449 KIRKLANE,10400-10499,KIRKLANE,DR,,77089,TXHPD0000,D,SOUTH BELT / ELLINGTON,76X6JQ5G+8C,2022-09-06
4487891,1662595200000,06,121238322,13B,Simple assault,16,16E20,"Residence, Home (Includes Apartment)",3849 FUQUA,3800-3899,FUQUA,ST,W,77053,TXHPD0000,,,76X6JJ6Q+WJ,2022-09-07
4487892,1662595200000,06,121238322,13C,Intimidation,16,16E20,"Residence, Home (Includes Apartment)",3849 FUQUA,3800-3899,FUQUA,ST,W,77053,TXHPD0000,,,76X6JJ6Q+WJ,2022-09-07
4487906,1662076800000,15,118598022,13B,Simple assault,16,16E20,"Residence, Home (Includes Apartment)",4849 FUQUA,4800-4899,FUQUA,ST,W,77045,TXHPD0000,D,MINNETEX,76X6JM66+V2,2022-09-01
4487909,1662854400000,17,122919522,13B,Simple assault,16,16E20,"Residence, Home (Includes Apartment)",4849 FUQUA,4800-4899,FUQUA,ST,W,77045,TXHPD0000,D,MINNETEX,76X6JM66+V2,2022-09-10
4487945,1663200000000,04,124296522,13C,Intimidation,01,01A30,"Parking Lot, Garage",2149 RICHMOND,2100-2199,RICHMOND,AVE,,77098,TXHPD0000,,,76X6J7F6+6H,2022-09-14
4487956,1662681600000,12,121543622,13C,Intimidation,14,14D40,"Residence, Home (Includes Apartment)",13349 CITYSCAPE,13300-13399,CITYSCAPE,AVE,,,TXHPD0000,D,SOUTH ACRES / CRESTMONT PARK,76X6JJ78+V7,2022-09-08
4487964,1662768000000,04,121907422,13B,Simple assault,14,14D50,"Residence, Home (Includes Apartment)",6049 HERTFORD,6000-6099,HERTFORD,ST,,77048,TXHPD0000,D,MINNETEX,76X6JM7M+5Q,2022-09-09
4487972,1662595200000,16,123466422,13A,Aggravated Assault,12,12D10,"Residence, Home (Includes Apartment)",10549 QUIET VILLAS,10500-10599,QUIET VILLAS,LN,,77075,TXHPD0000,D,SOUTH BELT / ELLINGTON,76X6JP6V+M9,2022-09-07
4487978,1663200000000,10,124425322,13C,Intimidation,12,12D50,"Highway, Road, Street, Alley",4149 PINE BLOSSOM,4100-4199,PINE BLOSSOM,TRL,,77059,TXHPD0000,E,CLEAR LAKE,76X6JV5H+7R,2022-09-14
4487979,1662854400000,21,122673222,13A,Aggravated Assault,16,16E30,"Highway, Road, Street, Alley",6149 NEWQUAY,6100-6199,NEWQUAY,ST,,77085,TXHPD0000,K,CENTRAL SOUTHWEST,76X6JG9F+5Q,2022-09-10
4487985,1662768000000,10,121992522,13C,Intimidation,12,12D30,"Residence, Home (Includes Apartment)",13749 RURAL OAK,13700-13799,RURAL OAK,ST,,77034,TXHPD0000,E,SOUTH BELT / ELLINGTON,76X6JR64+68,2022-09-09
4487991,1662681600000,17,121676922,13B,Simple assault,14,14D40,"Residence, Home (Includes Apartment)",3549 STONHAM,3500-3599,STONHAM,ST,,77047,TXHPD0000,D,SOUTH ACRES / CRESTMONT PARK,76X6JJ8M+65,2022-09-08
4487993,1662681600000,16,121821022,13B,Simple assault,14,14D40,"Residence, Home (Includes Apartment)",3549 STONHAM,3500-3599,STONHAM,ST,,77047,TXHPD0000,D,SOUTH ACRES / CRESTMONT PARK,76X6JJ8M+65,2022-09-08
4487997,1663027200000,12,123432822,13B,Simple assault,16,16E20,"Residence, Home (Includes Apartment)",4449 GALLAGHER,4400-4499,GALLAGHER,DR,,77045,TXHPD0000,K,CENTRAL SOUTHWEST,76X6JH94+5C,2022-09-12
4487998,1663027200000,21,123692822,13B,Simple assault,16,16E20,"Residence, Home (Includes Apartment)",4449 GALLAGHER,4400-4499,GALLAGHER,DR,,77045,TXHPD0000,K,CENTRAL SOUTHWEST,76X6JH94+5C,2022-09-12
4488008,1662768000000,14,122086322,13A,Aggravated Assault,12,12D20,"Parking Lot, Garage",10949 FUQUA,10900-10999,FUQUA,ST,,77089,TXHPD0000,D,SOUTH BELT / ELLINGTON,76X6JQ6G+QG,2022-09-09
4488009,1662940800000,17,123077022,13C,Intimidation,12,12D20,Restaurant,10949 FUQUA,10900-10999,FUQUA,ST,,77089,TXHPD0000,D,SOUTH BELT / ELLINGTON,76X6JQ6G+QG,2022-09-11
4488022,1662163200000,01,118540322,13A,Aggravated Assault,12,12D20,"Residence, Home (Includes Apartment)",9949 CAFFREY,9900-9999,CAFFREY,ST,,77075,TXHPD0000,D,SOUTH BELT / ELLINGTON,76X6JQ76+55,2022-09-02
4488023,1662163200000,01,118540322,13B,Simple assault,12,12D20,"Residence, Home (Includes Apartment)",9949 CAFFREY,9900-9999,CAFFREY,ST,,77075,TXHPD0000,D,SOUTH BELT / ELLINGTON,76X6JQ76+55,2022-09-02
