OBJECTID,USER_RMSOccurrenceDate,USER_RMSOccurrenceHour,USER_Incident,USER_NIBRSClass,USER_NIBRSDescription,USER_District,USER_Beat,USER_Premise,USER_OffenseAddressMiddle,USER_BlockRange,USER_StreetName,USER_StreetType,USER_Suffix,USER_ZIPCode,USER_ORI,DISTRICT_1,SNBNAME,OLC,newdate
4523500,1662595200000,12,121036622,13C,Intimidation,16,16E40,"Residence, Home (Includes Apartment)",16849 RAPIDCREEK,16800-16899,RAPIDCREEK,DR,,77053,TXHPD0000,K,FORT BEND HOUSTON,76X6HGJP+WM,2022-09-07
4523501,1662508800000,19,120746922,13C,Intimidation,16,16E40,"Residence, Home (Includes Apartment)",4649 RIPPLE RIDGE,4600-4699,RIPPLE RIDGE,DR,N,77053,TXHPD0000,K,FORT BEND HOUSTON,76X6HGMV+4M,2022-09-06
4523503,1663286400000,22,125281522,13B,Simple assault,12,12D60,"Residence, Home (Includes Apartment)",2349 RAMADA,2300-2399,RAMADA,DR,,77062,TXHPD0000,E,CLEAR LAKE,76X6HVFP+88,2022-09-15
4523514,1663027200000,14,123497022,13C,Intimidation,12,12D50,"Residence, Home (Includes Apartment)",349 CYBERONICS,300-399,CYBERONICS,BLVD,,77058,TXHPD0000,E,CLEAR LAKE,76X6HVFV+JJ,2022-09-12
4523521,1663200000000,10,124402922,13B,Simple assault,16,16E40,"Parking Lot, Garage",16549 CHIMNEY ROCK,16500-16599,CHIMNEY ROCK,RD,,77053,TXHPD0000,K,FORT BEND HOUSTON,76X6HGP8+3V,2022-09-14
4523524,1663200000000,13,124981622,13A,Aggravated Assault,16,16E40,"Residence, Home (Includes Apartment)",16449 GOLD RIDGE,16400-16499,GOLD RIDGE,LN,,77053,TXHPD0000,K,FORT BEND HOUSTON,76X6HGPJ+6H,2022-09-14
4523525,1662422400000,21,120306122,13B,Simple assault,16,16E40,"Residence, Home (Includes Apartment)",4749 COURT,4700-4799,COURT,RD,,77053,TXHPD0000,K,FORT BEND HOUSTON,76X6HGPV+59,2022-09-05
4523530,1663027200000,17,123597622,13C,Intimidation,14,14D10,"Residence, Home (Includes Apartment)",3949 ALICE,3900-3999,ALICE,ST,,77021,TXHPD0000,,,76X6HPJ7+GR,2022-09-12
4523531,1663286400000,10,124930622,13B,Simple assault,16,16E40,"Residence, Home (Includes Apartment)",16349 EDGEMONT,16300-16399,EDGEMONT,DR,,77053,TXHPD0000,K,FORT BEND HOUSTON,76X6HGPM+GQ,2022-09-15
4523536,1662768000000,05,122105022,100,"Kidnapping, Abduction",16,16E40,"Residence, Home (Includes Apartment)",8449 BLUE QUAIL,8400-8499,BLUE QUAIL,DR,,77489,TXHPD0000,K,FORT BEND HOUSTON,76X6HFQM+8V,2022-09-09
4523537,1662768000000,05,122105022,11A,Forcible rape,16,16E40,"Residence, Home (Includes Apartment)",8449 BLUE QUAIL,8400-8499,BLUE QUAIL,DR,,77489,TXHPD0000,K,FORT BEND HOUSTON,76X6HFQM+8V,2022-09-09
4523538,1662768000000,05,122105022,11B,Forcible sodomy,16,16E40,"Residence, Home (Includes Apartment)",8449 BLUE QUAIL,8400-8499,BLUE QUAIL,DR,,77489,TXHPD0000,K,FORT BEND HOUSTON,76X6HFQM+8V,2022-09-09
4523550,1662940800000,17,123080822,13B,Simple assault,12,12D50,"Hotel, Motel, ETC",2749 BAY AREA,2700-2799,BAY AREA,BLVD,,77058,TXHPD0000,E,CLEAR LAKE,76X6HVHV+6C,2022-09-11
4523554,1662508800000,14,121113822,13B,Simple assault,12,12D50,"Parking Lot, Garage",2749 BAY AREA,2700-2799,BAY AREA,BLVD,,77058,TXHPD0000,E,CLEAR LAKE,76X6HVHV+6C,2022-09-06
4523558,1662422400000,18,120202422,100,"Kidnapping, Abduction",16,16E40,"Parking Lot, Garage",16349 POST OAK,16300-16399,POST OAK,RD,S,77053,TXHPD0000,K,FORT BEND HOUSTON,76X6HGQH+GV,2022-09-05
4523572,1662508800000,15,120645322,13C,Intimidation,12,12D50,"Residence, Home (Includes Apartment)",14549 SYCAMORE LAKE,14500-14599,SYCAMORE LAKE,RD,,77062,TXHPD0000,E,CLEAR LAKE,76X6HVJ4+CV,2022-09-06
4523576,1663113600000,17,124474422,11A,Forcible rape,12,12D40,"Residence, Home (Includes Apartment)",11849 ASTORIA,11800-11899,ASTORIA,BLVD,,77089,TXHPD0000,D,SOUTH BELT / ELLINGTON,76X6HQMR+FF,2022-09-13
4523578,1662422400000,15,120111022,13B,Simple assault,16,16E40,"Residence, Home (Includes Apartment)",16149 CHIMNEY ROCK,16100-16199,CHIMNEY ROCK,RD,,77053,TXHPD0000,K,FORT BEND HOUSTON,76X6HGR8+FF,2022-09-05
4523599,1662422400000,12,120147322,13B,Simple assault,16,16E40,"Residence, Home (Includes Apartment)",4749 BEECHAVEN,4700-4799,BEECHAVEN,DR,,77053,TXHPD0000,K,FORT BEND HOUSTON,76X6HGRX+JP,2022-09-05
4523603,1663113600000,00,123731322,13C,Intimidation,16,16E40,"Residence, Home (Includes Apartment)",5949 BEACONRIDGE,5900-5999,BEACONRIDGE,DR,,77053,TXHPD0000,K,FORT BEND HOUSTON,76X6HGVF+4X,2022-09-13
4523604,1662336000000,10,119588822,13B,Simple assault,16,16E40,"Residence, Home (Includes Apartment)",6649 TRIGATE,6600-6699,TRIGATE,DR,,77489,TXHPD0000,K,FORT BEND HOUSTON,76X6HGV8+68,2022-09-04
4523606,1662854400000,15,122851322,13C,Intimidation,12,12D40,"Residence, Home (Includes Apartment)",12549 NEW ROCHELLE,12500-12599,NEW ROCHELLE,CT,,77089,TXHPD0000,D,SOUTH BELT / ELLINGTON,76X6HRP3+46,2022-09-10
4523607,1663286400000,09,124894122,13A,Aggravated Assault,16,16E40,"Residence, Home (Includes Apartment)",5549 LYDEN RIDGE,5500-5599,LYDEN RIDGE,DR,,77053,TXHPD0000,K,FORT BEND HOUSTON,76X6HGVH+6Q,2022-09-15
4523609,1663113600000,10,123887822,13C,Intimidation,12,12D40,"Drug Store, Doctors Office, Hospital",11949 ASTORIA,11900-11999,ASTORIA,BLVD,,77089,TXHPD0000,D,SOUTH BELT / ELLINGTON,76X6HQPV+9Q,2022-09-13
4523613,1662422400000,21,120294822,13B,Simple assault,12,12D20,"Residence, Home (Includes Apartment)",11249 SAGEBURROW,11200-11299,SAGEBURROW,DR,,77089,TXHPD0000,D,SOUTH BELT / ELLINGTON,76X6HQPC+MX,2022-09-05
4523625,1662422400000,17,120182022,13B,Simple assault,16,16E40,"Highway, Road, Street, Alley",15949 POST OAK,15900-15999,POST OAK,RD,S,77053,TXHPD0000,K,FORT BEND HOUSTON,76X6HGVJ+PX,2022-09-05
4523629,1663286400000,21,125230722,13C,Intimidation,16,16E40,"Residence, Home (Includes Apartment)",15749 CLARKE SPRINGS,15700-15799,CLARKE SPRINGS,DR,,77053,TXHPD0000,K,FORT BEND HOUSTON,76X6HHV2+VR,2022-09-15
4523630,1662854400000,18,122706622,13C,Intimidation,16,16E40,"Residence, Home (Includes Apartment)",15849 BLUE RIDGE,15800-15899,BLUE RIDGE,RD,,77489,TXHPD0000,K,FORT BEND HOUSTON,76X6HGW5+83,2022-09-10
4523631,1663372800000,16,125602322,13B,Simple assault,16,16E40,"Residence, Home (Includes Apartment)",4649 BRYANT RIDGE,4600-4699,BRYANT RIDGE,RD,,77053,TXHPD0000,K,FORT BEND HOUSTON,76X6HGVX+WX,2022-09-16
4523632,1663372800000,16,125602322,13C,Intimidation,16,16E40,"Residence, Home (Includes Apartment)",4649 BRYANT RIDGE,4600-4699,BRYANT RIDGE,RD,,77053,TXHPD0000,K,FORT BEND HOUSTON,76X6HGVX+WX,2022-09-16
4523641,1662854400000,14,122528722,13A,Aggravated Assault,12,12D20,"Residence, Home (Includes Apartment)",10849 SAGECANYON,10800-10899,SAGECANYON,DR,,77089,TXHPD0000,D,SOUTH BELT / ELLINGTON,76X6HQQ8+WC,2022-09-10
4523652,1662508800000,22,120799122,13B,Simple assault,12,12D40,"Residence, Home (Includes Apartment)",12149 WESSEX,12100-12199,WESSEX,DR,,77089,TXHPD0000,D,SOUTH BELT / ELLINGTON,76X6HRQ4+XR,2022-09-06
4523668,1662681600000,04,122077022,13C,Intimidation,16,16E40,"Highway, Road, Street, Alley",7449 CASTLEVIEW,7400-7499,CASTLEVIEW,LN,,77489,TXHPD0000,K,FORT BEND HOUSTON,76X6HGX2+VP,2022-09-08
4523669,1662681600000,10,121499522,13B,Simple assault,16,16E40,"Residence, Home (Includes Apartment)",5449 ARTHINGTON,5400-5499,ARTHINGTON,AVE,,77053,TXHPD0000,K,FORT BEND HOUSTON,76X6HGXP+H6,2022-09-08
4523670,1662681600000,10,121499522,13C,Intimidation,16,16E40,"Residence, Home (Includes Apartment)",5449 ARTHINGTON,5400-5499,ARTHINGTON,AVE,,77053,TXHPD0000,K,FORT BEND HOUSTON,76X6HGXP+H6,2022-09-08
4523671,1663200000000,04,124298022,13A,Aggravated Assault,16,16E40,"Highway, Road, Street, Alley",5449 ARTHINGTON,5400-5499,ARTHINGTON,AVE,,77053,TXHPD0000,K,FORT BEND HOUSTON,76X6HGXP+H6,2022-09-14
4523688,1663200000000,08,124527822,13C,Intimidation,12,12D40,"Residence, Home (Includes Apartment)",749 FM 1959,700-799,FM 1959,RD,,77598,TXHPD0000,E,SOUTH BELT / ELLINGTON,76X6HRVC+42,2022-09-14
4523693,1662422400000,21,120280822,13C,Intimidation,12,12D40,"Residence, Home (Includes Apartment)",749 FM 1959,700-799,FM 1959,RD,,77598,TXHPD0000,E,SOUTH BELT / ELLINGTON,76X6HRVC+42,2022-09-05
4523699,1662768000000,18,122171022,13C,Intimidation,12,12D20,"Residence, Home (Includes Apartment)",11049 SAGEHILL,11000-11099,SAGEHILL,DR,,77089,TXHPD0000,D,SOUTH BELT / ELLINGTON,76X6HQVG+RG,2022-09-09
4523702,1663113600000,07,124060322,13B,Simple assault,16,16E40,"Residence, Home (Includes Apartment)",15449 WILLVIEW,15400-15499,WILLVIEW,RD,,77489,TXHPD0000,K,FORT BEND HOUSTON,76X6JG24+W8,2022-09-13
4523703,1662422400000,00,119817322,13B,Simple assault,16,16E40,"Residence, Home (Includes Apartment)",7149 TOWERVIEW,7100-7199,TOWERVIEW,LN,,77489,TXHPD0000,K,FORT BEND HOUSTON,76X6JG24+WF,2022-09-05
4523704,1662508800000,14,120580122,13B,Simple assault,16,16E40,"Residence, Home (Includes Apartment)",7649 JONATHAN,7600-7699,JONATHAN,CT,,77489,TXHPD0000,K,FORT BEND HOUSTON,76X6JF3W+3G,2022-09-06
4523705,1662508800000,14,120580122,13C,Intimidation,16,16E40,"Residence, Home (Includes Apartment)",7649 JONATHAN,7600-7699,JONATHAN,CT,,77489,TXHPD0000,K,FORT BEND HOUSTON,76X6JF3W+3G,2022-09-06
4523706,1662768000000,22,122267322,13A,Aggravated Assault,12,12D50,"Residence, Home (Includes Apartment)",16349 LARKFIELD,16300-16399,LARKFIELD,DR,,77059,TXHPD0000,E,CLEAR LAKE,76X6HVRR+R3,2022-09-09
4523713,1662508800000,22,120806322,13A,Aggravated Assault,16,16E40,"Highway, Road, Street, Alley",15449 INDIAN WOODS,15400-15499,INDIAN WOODS,DR,,77489,TXHPD0000,K,FORT BEND HOUSTON,76X6JG38+22,2022-09-06
4523723,1662940800000,17,123141122,13A,Aggravated Assault,12,12D20,"Residence, Home (Includes Apartment)",10949 SAGELEAF,10900-10999,SAGELEAF,LN,,77089,TXHPD0000,D,SOUTH BELT / ELLINGTON,76X6HQWF+9J,2022-09-11
4523742,1663200000000,06,124584322,13A,Aggravated Assault,00,HCSO,"Highway, Road, Street, Alley",14249 CULLEN,14200-14299,CULLEN,BLVD,,77047,TXHPD0000,,,76X6JJ2W+6F,2022-09-14
4523743,1662422400000,08,119921322,13B,Simple assault,16,16E30,"Residence, Home (Includes Apartment)",5649 DRAKESTONE,5600-5699,DRAKESTONE,BLVD,,77053,TXHPD0000,K,CENTRAL SOUTHWEST,76X6JG3J+GW,2022-09-05
4523757,1663286400000,17,125130522,13C,Intimidation,16,16E40,"Residence, Home (Includes Apartment)",7449 GATECRAFT,7400-7499,GATECRAFT,DR,,77489,TXHPD0000,K,FORT BEND HOUSTON,76X6JG42+7X,2022-09-15
4523779,1662940800000,15,123016922,13B,Simple assault,12,12D20,"Residence, Home (Includes Apartment)",10849 KIRKFAIR,10800-10899,KIRKFAIR,DR,,77089,TXHPD0000,D,SOUTH BELT / ELLINGTON,76X6HQXC+R9,2022-09-11
4523781,1662854400000,10,122454822,13C,Intimidation,16,16E20,"Residence, Home (Includes Apartment)",5049 ANDERSON,5000-5099,ANDERSON,RD,,77053,TXHPD0000,K,CENTRAL SOUTHWEST,76X6JG4V+9P,2022-09-10
4523785,1663027200000,09,123346922,13B,Simple assault,13,13D40,"Parking Lot, Garage",11349 MONROE,11300-11399,MONROE,RD,,77075,TXHPD0000,D,SOUTH BELT / ELLINGTON,76X6JP2M+FF,2022-09-12
4523786,1662854400000,02,122344022,13C,Intimidation,14,14D50,"Residence, Home (Includes Apartment)",14249 WAYSIDE,14200-14299,WAYSIDE,DR,S,77048,TXHPD0000,D,MINNETEX,76X6JM3J+4V,2022-09-10
4523799,1663372800000,13,125529222,13B,Simple assault,12,12D20,"Residence, Home (Includes Apartment)",11849 SAGEDOWNE,11800-11899,SAGEDOWNE,LN,,77089,TXHPD0000,D,SOUTH BELT / ELLINGTON,76X6HQXR+V4,2022-09-16
4523800,1663372800000,13,125538322,13C,Intimidation,12,12D20,"Residence, Home (Includes Apartment)",11849 SAGEDOWNE,11800-11899,SAGEDOWNE,LN,,77089,TXHPD0000,D,SOUTH BELT / ELLINGTON,76X6HQXR+V4,2022-09-16
4523828,1663027200000,05,123283322,13C,Intimidation,01,01A10,"Hotel, Motel, ETC",1149 TEXAS,1100-1199,TEXAS,ST,,77002,TXHPD0000,,,76X6JF6C+8H,2022-09-12
4523834,1662681600000,04,121387622,13B,Simple assault,12,12D20,"Residence, Home (Includes Apartment)",11249 VALLEY KINGS,11200-11299,VALLEY KINGS,DR,,77089,TXHPD0000,D,SOUTH BELT / ELLINGTON,76X6JQ34+7W,2022-09-08
4523842,1662940800000,10,122966622,13C,Intimidation,12,12D20,"Residence, Home (Includes Apartment)",11149 VALLEY KINGS,11100-11199,VALLEY KINGS,DR,,77089,TXHPD0000,D,SOUTH BELT / ELLINGTON,76X6JQ34+HP,2022-09-11
4523846,1663372800000,02,125339722,13A,Aggravated Assault,01,01A10,"Highway, Road, Street, Alley",1049 TEXAS,1000-1099,TEXAS,ST,,77002,TXHPD0000,,,76X6JF6C+P3,2022-09-16
4523853,1662940800000,02,122811622,13A,Aggravated Assault,16,16E40,"Residence, Home (Includes Apartment)",14649 CHASEMONT,14600-14699,CHASEMONT,DR,,77489,TXHPD0000,K,FORT BEND HOUSTON,76X6JF6V+J9,2022-09-11
4523878,1662336000000,00,119405622,13C,Intimidation,12,12D20,"Residence, Home (Includes Apartment)",9949 KIRKSHIRE,9900-9999,KIRKSHIRE,DR,,77089,TXHPD0000,D,SOUTH BELT / ELLINGTON,76X6JQ49+6V,2022-09-04
4523896,1662508800000,00,120328322,13B,Simple assault,12,12D20,"Residence, Home (Includes Apartment)",11649 GULF POINTE,11600-11699,GULF POINTE,DR,,77089,TXHPD0000,D,SOUTH BELT / ELLINGTON,76X6JQ4M+6J,2022-09-06
4523897,1662508800000,00,120328322,13C,Intimidation,12,12D20,"Residence, Home (Includes Apartment)",11649 GULF POINTE,11600-11699,GULF POINTE,DR,,77089,TXHPD0000,D,SOUTH BELT / ELLINGTON,76X6JQ4M+6J,2022-09-06
4523910,1663027200000,22,123702222,13B,Simple assault,16,16E20,"Residence, Home (Includes Apartment)",14749 MESA VILLAGE,14700-14799,MESA VILLAGE,DR,,77053,TXHPD0000,K,CENTRAL SOUTHWEST,76X6JH69+WF,2022-09-12
4523918,1663372800000,02,125375222,13B,Simple assault,12,12D10,"Residence, Home (Includes Apartment)",10849 TALLOW BRIAR,10800-10899,TALLOW BRIAR,LN,,77075,TXHPD0000,D,SOUTH BELT / ELLINGTON,76X6JP5P+62,2022-09-16
4523919,1662768000000,01,121867322,13A,Aggravated Assault,12,12D20,"Residence, Home (Includes Apartment)",10649 SAGETREE,10600-10699,SAGETREE,DR,,77089,TXHPD0000,D,SOUTH BELT / ELLINGTON,76X6JQ4J+PJ,2022-09-09
4523942,1662681600000,15,121610622,13C,Intimidation,13,13D40,"Residence, Home (Includes Apartment)",8349 GARDEN PARKS,8300-8399,GARDEN PARKS,DR,,77075,TXHPD0000,D,GREATER HOBBY AREA,76X6JP5H+PP,2022-09-08
4523947,1663372800000,13,125533322,13C,Intimidation,16,16E20,"Department, Discount Store",3349 FUQUA,3300-3399,FUQUA,ST,W,77045,TXHPD0000,,,76X6JJ6H+WH,2022-09-16
4523951,1662508800000,07,121832422,13C,Intimidation,12,12D20,"Residence, Home (Includes Apartment)",10449 KIRKLANE,10400-10499,KIRKLANE,DR,,77089,TXHPD0000,D,SOUTH BELT / ELLINGTON,76X6JQ5G+8C,2022-09-06
4523958,1662595200000,06,121238322,13B,Simple assault,16,16E20,"Residence, Home (Includes Apartment)",3849 FUQUA,3800-3899,FUQUA,ST,W,77053,TXHPD0000,,,76X6JJ6Q+WJ,2022-09-07
4523971,1662854400000,17,122919522,13B,Simple assault,16,16E20,"Residence, Home (Includes Apartment)",4849 FUQUA,4800-4899,FUQUA,ST,W,77045,TXHPD0000,D,MINNETEX,76X6JM66+V2,2022-09-10
4523981,1663286400000,13,124991622,13C,Intimidation,16,16E10,Auto Dealership New/Used,1349 ALMEDA GENOA,1300-1399,ALMEDA GENOA,RD,,77047,TXHPD0000,D,CENTRAL SOUTHWEST,76X6JH7X+H6,2022-09-15
4523987,1663200000000,22,124724922,13B,Simple assault,16,16E10,"Residence, Home (Includes Apartment)",849 HEATHERTON HILL,800-899,HEATHERTON HILL,LN,,77047,TXHPD0000,D,CENTRAL SOUTHWEST,76X6JH7R+QC,2022-09-14
4524008,1663286400000,08,125036922,13C,Intimidation,12,12D20,"Residence, Home (Includes Apartment)",10949 BEAMER,10900-10999,BEAMER,RD,,77089,TXHPD0000,D,SOUTH BELT / ELLINGTON,76X6JQ5C+RR,2022-09-15
4524014,1663200000000,04,124296522,13C,Intimidation,01,01A30,"Parking Lot, Garage",2149 RICHMOND,2100-2199,RICHMOND,AVE,,77098,TXHPD0000,,,76X6J7F6+6H,2022-09-14
4524025,1662681600000,12,121543622,13C,Intimidation,14,14D40,"Residence, Home (Includes Apartment)",13349 CITYSCAPE,13300-13399,CITYSCAPE,AVE,,,TXHPD0000,D,SOUTH ACRES / CRESTMONT PARK,76X6JJ78+V7,2022-09-08
4524026,1663286400000,21,125420022,13C,Intimidation,14,14D40,"Residence, Home (Includes Apartment)",13349 CITYSCAPE,13300-13399,CITYSCAPE,AVE,,77047,TXHPD0000,D,SOUTH ACRES / CRESTMONT PARK,76X6JJ78+V7,2022-09-15
4524033,1662768000000,04,121907422,13B,Simple assault,14,14D50,"Residence, Home (Includes Apartment)",6049 HERTFORD,6000-6099,HERTFORD,ST,,77048,TXHPD0000,D,MINNETEX,76X6JM7M+5Q,2022-09-09
4524042,1662595200000,16,123466422,13A,Aggravated Assault,12,12D10,"Residence, Home (Includes Apartment)",10549 QUIET VILLAS,10500-10599,QUIET VILLAS,LN,,77075,TXHPD0000,D,SOUTH BELT / ELLINGTON,76X6JP6V+M9,2022-09-07
4524048,1663200000000,10,124425322,13C,Intimidation,12,12D50,"Highway, Road, Street, Alley",4149 PINE BLOSSOM,4100-4199,PINE BLOSSOM,TRL,,77059,TXHPD0000,E,CLEAR LAKE,76X6JV5H+7R,2022-09-14
4524049,1662854400000,21,122673222,13A,Aggravated Assault,16,16E30,"Highway, Road, Street, Alley",6149 NEWQUAY,6100-6199,NEWQUAY,ST,,77085,TXHPD0000,K,CENTRAL SOUTHWEST,76X6JG9F+5Q,2022-09-10
4524055,1662768000000,10,121992522,13C,Intimidation,12,12D30,"Residence, Home (Includes Apartment)",13749 RURAL OAK,13700-13799,RURAL OAK,ST,,77034,TXHPD0000,E,SOUTH BELT / ELLINGTON,76X6JR64+68,2022-09-09
4524061,1662681600000,17,121676922,13B,Simple assault,14,14D40,"Residence, Home (Includes Apartment)",3549 STONHAM,3500-3599,STONHAM,ST,,77047,TXHPD0000,D,SOUTH ACRES / CRESTMONT PARK,76X6JJ8M+65,2022-09-08
4524064,1663027200000,12,123432822,13B,Simple assault,16,16E20,"Residence, Home (Includes Apartment)",4449 GALLAGHER,4400-4499,GALLAGHER,DR,,77045,TXHPD0000,K,CENTRAL SOUTHWEST,76X6JH94+5C,2022-09-12
4524065,1663027200000,21,123692822,13B,Simple assault,16,16E20,"Residence, Home (Includes Apartment)",4449 GALLAGHER,4400-4499,GALLAGHER,DR,,77045,TXHPD0000,K,CENTRAL SOUTHWEST,76X6JH94+5C,2022-09-12
4524072,1662768000000,14,122086322,13A,Aggravated Assault,12,12D20,"Parking Lot, Garage",10949 FUQUA,10900-10999,FUQUA,ST,,77089,TXHPD0000,D,SOUTH BELT / ELLINGTON,76X6JQ6G+QG,2022-09-09
4524073,1662940800000,17,123077022,13C,Intimidation,12,12D20,Restaurant,10949 FUQUA,10900-10999,FUQUA,ST,,77089,TXHPD0000,D,SOUTH BELT / ELLINGTON,76X6JQ6G+QG,2022-09-11
4524087,1663372800000,19,125662522,13B,Simple assault,14,14D40,"Hotel, Motel, ETC",13149 CITYSCAPE,13100-13199,CITYSCAPE,,,77048,TXHPD0000,D,SOUTH ACRES / CRESTMONT PARK,76X6JJ88+M6,2022-09-16
